"This house has been abandoned for the last ten years.
",یہِ مکان چُھ پٔتۍ میو دَہو ؤریو پیٚٹھٕ ترٛاونہٕ آمُت۔,لاوارث,list,V,"The damaged boat was listing.
",اورٕ یور گژُھن، دولہٕ گژُھن,تباہ گٔمٕژ ناو ٲس اورٕ یور گژھان۔,ڈگمگانا,تباہ ہوئی کشتی ڈگمگا رہی تھی۔,sleeve,He cut the sleeve of his shirt.,آستین,اس نے اپنی قمیض کا آستین کاٹا۔,نوٚر,تٔمۍ ژوٚٹ پننِہ قمیٖضہِ ہُنٛد نوٚر۔
"Akbar was abducted by two gunmen.
",اکبر اوس دۄیو بٔندوٗق بردارو اغواہ کوٚرمُت,اغوا,,,,,,,,,,,,,
"He has the ability to solve complex mathematical problems.
",تٔمِس چھےٚ مُشکِل ریٲضی سوالن ہُنٛد جواب ژھانٛڈنٕچ صلٲحیت,صلاحیت,,,,,,,,,,,,,
"Akbar was able to lift the suitcase.
",اکبَرن ہیٚوک سوٗٹ کیس تُلِتھ,قابل,,,,,,,,,,,,,
"Akbar is the most able student in his class.
",اکبر چُھ پنٛہٕ نِس کلاسس منٛز ساروٕے کھۄتہٕ زیادٕ قٲبِل,قابل,,,,,,,,,,,,,
"We were already aboard ship when he arrived.
",أسۍ ٲسۍ تٔمۍ سٕنٛدِ یٕنہٕ برونٹھٕے جہازس منٛز سوار,سوار,,,,,,,,,,,,,
"I climbed aboard the yatch
",بٕہ گوس ناوِ منز سَوار,پر سوار,,,,,,,,,,,,,
"The plane crashed,killing all 150 passengers aboard.",جہاز گوو تباہ تٕہ تتھ منٛز سوار سٲری ۱۵٠ مُسافِر گٔی ہلاک,سوار,,,,,,,,,,,,,
"Our six members were aboard the aircraft.
",سٲنۍ شےٚ نَفر ٲسۍ ہوٲیی جہازس منٛز سوار,سوار,,,,,,,,,,,,,
I do not know his abode,مےٚٚ چھےٚ نہٕ تٔمۍ سٕنٛز روزنٕچ جاے پَتہ,ٹھکانہ,,,,,,,,,,,,,
